"id","university","aliases","level","template_type","format","source_kind","source_url","download_url","local_path","sha256","license","last_checked","status","notes"
"github_1195343015_cn-university-latex-thesis-templates","多校合集","Chinese mainland university thesis templates","multiple","multiple","latex","github","https://github.com/1195343015/cn-university-latex-thesis-templates","https://api.github.com/repos/1195343015/cn-university-latex-thesis-templates/zipball/main","assets/formats/github/1195343015__cn-university-latex-thesis-templates/1195343015__cn-university-latex-thesis-templates__main.zip","2db22fee1c1e213f87ca76fb62d4495322e2c394abe4b4100016b8eef9f0ea64","MIT","2026-05-18","downloaded","GitHub stars=1; 中国内地高校学位论文 LaTeX 模板收录"
"github_a171232886_TJUThesis_master_2021","天津大学","TJU|Tianjin University","graduate","dissertation","latex","github","https://github.com/a171232886/TJUThesis_master_2021","https://api.github.com/repos/a171232886/TJUThesis_master_2021/zipball/main","assets/formats/github/a171232886__TJUThesis_master_2021/a171232886__TJUThesis_master_2021__main.zip","09f48ddb36eedaaee7fe6c9d435e4d43a090e208507dde56f826a9dcf56d9024","unknown","2026-05-18","downloaded","GitHub stars=443; 天大博士/硕士学位论文Latex模板，根据2021年版要求修改，可直接在Overleaf上运行。:star:所写的论文成功提交天津大学图书馆存档！（2021.12.24）"
"github_alwintsui_scutthesis","华南理工大学","SCUT|South China University of Technology","graduate","thesis","latex","github","https://github.com/alwintsui/scutthesis","https://api.github.com/repos/alwintsui/scutthesis/zipball/master","assets/formats/github/alwintsui__scutthesis/alwintsui__scutthesis__master.zip","442870575317f4e97a387d815253684ad5366621e9f6bf6bdd7c718598926872","unknown","2026-05-18","downloaded","SCUT LaTeX/LyX thesis template; older but historically important reference. | GitHub stars=244; Latex/Lyx templates for the thesis specifications of South China University of Technology (SCUT,华南理工大学)"
"github_bdebye_thesisuestc","电子科技大学","UESTC|University of Electronic Science and Technology of China","unknown","thesis","latex","github","https://github.com/bdebye/thesisuestc","https://api.github.com/repos/bdebye/thesisuestc/zipball/master","assets/formats/github/bdebye__thesisuestc/bdebye__thesisuestc__master.zip","4c96a0874d5e51fbb519395494639451650c9609ef8b4dd579fcbc039f1eeeef","unknown","2026-05-18","downloaded","GitHub stars=1652; ThesisUESTC-电子科技大学毕业论文模板"
"github_Cdmium_CAUTemplate","中国农业大学","CAU|China Agricultural University","unknown","thesis","latex","github","https://github.com/Cdmium/CAUTemplate","https://api.github.com/repos/Cdmium/CAUTemplate/zipball/master","assets/formats/github/Cdmium__CAUTemplate/Cdmium__CAUTemplate__master.zip","e6b78fa8fd83b095628ffbc69569c7c6794bf1416c970834a7cea8179210e20b","unknown","2026-05-18","downloaded","China Agricultural University course thesis LaTeX template; not necessarily a graduation thesis template. | GitHub stars=31; China Agricultural University Course Thesis LaTeX Template"
"github_CheckBoxStudio_BUAAThesis","北京航空航天大学","BUAA|Beihang University","graduate","dissertation","multiple","github","https://github.com/CheckBoxStudio/BUAAThesis","https://api.github.com/repos/CheckBoxStudio/BUAAThesis/zipball/master","assets/formats/github/CheckBoxStudio__BUAAThesis/CheckBoxStudio__BUAAThesis__master.zip","1d49ef49308ad329b7a2390dbf0bfb0e9f9ba3cd678ddc97af97deec5c6e39f1","MIT","2026-05-18","downloaded","GitHub stars=606; 北航研究生学位论文模板（Word+LaTeX）."
"github_hantang_latex-templates","多校合集","LaTeX thesis template collection","multiple","multiple","multiple","github","https://github.com/hantang/latex-templates","https://api.github.com/repos/hantang/latex-templates/zipball/main","assets/formats/github/hantang__latex-templates/hantang__latex-templates__main.zip","b055996172ac85a14cf7a49d6a170faf03d6de1b961b7663d87ba7151b8c4747","MIT","2026-05-18","downloaded","GitHub stars=741; A collection of awesome LaTeX Thesis/Dissertation templates and beyond! //（LaTeX / Word / Typst / Markdown 格式的学位论文、演示文稿、报告、项目申请书、简历、书籍等模板收藏）"
"github_hithesis_hithesis","哈尔滨工业大学","HIT|Harbin Institute of Technology","multiple","thesis","latex","github","https://github.com/hithesis/hithesis","https://api.github.com/repos/hithesis/hithesis/zipball/master","assets/formats/github/hithesis__hithesis/hithesis__hithesis__master.zip","11692247eca5947138beffe6b435f4284a37ee624e0fad5c1a07079d315b5739","unknown","2026-05-18","downloaded","GitHub stars=2260; 嗨！thesis！哈尔滨工业大学毕业论文LaTeX模板"
"github_iydon_sustechthesis","南方科技大学","SUSTech|Southern University of Science and Technology","undergraduate","thesis","latex","github","https://github.com/iydon/sustechthesis","https://api.github.com/repos/iydon/sustechthesis/zipball/master","assets/formats/github/iydon__sustechthesis/iydon__sustechthesis__master.zip","5ab71fad15cecef619ad0d77c45f5cda1384fe8a0193cf0372dc33896cd01040","LPPL-1.3c","2026-05-18","downloaded","LaTeX template repository for SUSTech undergraduate thesis; verify against current school rules before use. | GitHub stars=339; 南方科技大学本科生毕业论文 LaTeX 模板"
"github_JiShuWang_LaTeX_ChineseThesis","云南大学","YNU|Yunnan University","graduate","dissertation","latex","github","https://github.com/JiShuWang/LaTeX_ChineseThesis","https://api.github.com/repos/JiShuWang/LaTeX_ChineseThesis/zipball/main","assets/formats/github/JiShuWang__LaTeX_ChineseThesis/JiShuWang__LaTeX_ChineseThesis__main.zip","917e14b233b1e64ac3ee27b866921098a2a31bfa674400b2bfeae5f3b114b899","Apache-2.0","2026-05-18","downloaded","GitHub stars=16; 一个用于国内研究生学位论文撰写的LaTeX模板及其基本使用教程。该模板最初是用于云南大学研究生学位论文的撰写，但国内的学位论文格式基本一致，因此也可扩展到各个高校的研究生学位论文撰写。"
